Commercial.Online.Year,pca,tech,coolingwatertech,cap
2015,p133,gas-CT,none,2.0
2015,p15,hydro,none,1.2
2015,p16,gas-CT,none,4.6
2015,p21,gas-CT,none,7.0
2015,p25,o-g-s,none,3.8
2015,p26,gas-CT,none,4.199999999999999
2015,p31,gas-CT,none,41.0
2015,p33,gas-CC,none,576.0
2015,p34,hydro,none,7.3
2015,p36,gas-CT,none,80.0
2015,p38,coal-new,none,474.0
2015,p4,hydro,none,122.0
2015,p41,coal-new,none,82.0
2015,p43,coal-new,none,584.0
2015,p48,gas-CT,none,195.0
2015,p5,gas-CT,none,18.7
2015,p5,hydro,none,4.0
2015,p50,gas-CT,none,122.0
2015,p53,coal-new,none,1398.0
2015,p53,gas-CT,none,2.5
2015,p55,coal-new,none,198.0
2015,p59,gas-CT,none,190.0
2015,p62,gas-CT,none,326.6
2015,p63,gas-CC,none,734.0
2015,p63,hydro,none,1.3
2015,p65,lfill-gas,none,1.4
2015,p67,gas-CT,none,450.0
2015,p68,gas-CT,none,2.9000000000000004
2015,p69,coal-new,none,229.0
2015,p69,gas-CT,none,8.3
2015,p7,geothermal,none,1.8
2015,p73,gas-CT,none,24.0
2015,p80,coal-new,none,689.0
2015,p80,gas-CC,none,570.6
2015,p82,coal-new,none,768.0
2015,p87,coal-new,none,1020.0
2015,p9,biopower,none,27.0
2015,p9,gas-CT,none,45.900000000000006
2015,p9,o-g-s,none,2.0
2015,p95,lfill-gas,none,2.4
2015,p97,lfill-gas,none,1.6
2015,p98,biopower,none,34.8
2015,p98,lfill-gas,none,2.8
2016,p10,gas-CC,none,390.0
2016,p10,gas-CT,none,204.0
2016,p10,lfill-gas,none,23.799999999999997
2016,p10,o-g-s,none,2.7
2016,p101,gas-CT,none,481.8
2016,p102,gas-CC,none,1260.0
2016,p102,gas-CT,none,1155.0
2016,p103,coal-new,none,836.0
2016,p103,gas-CT,none,408.4
2016,p105,coal-new,none,469.0
2016,p108,hydro,none,87.9
2016,p109,hydro,none,105.0
2016,p109,lfill-gas,none,2.5
2016,p11,gas-CT,none,291.0
2016,p112,gas-CT,none,1.8
2016,p116,hydro,none,44.0
2016,p118,lfill-gas,none,3.599999999999999
2016,p122,coal-new,none,1237.0
2016,p122,gas-CC,none,1521.0
2016,p122,gas-CT,none,21.0
2016,p122,lfill-gas,none,1.6
2016,p123,gas-CT,none,6.2
2016,p126,gas-CC,none,26.8
2016,p127,gas-CT,none,23.4
2016,p127,lfill-gas,none,1.6
2016,p129,hydro,none,3.600000000000001
2016,p130,lfill-gas,none,1.5
2016,p131,gas-CT,none,0.2
2016,p132,o-g-s,none,14.5
2016,p134,biopower,none,7.0
2016,p25,gas-CT,none,5.0
2016,p33,hydro,none,1.2
2016,p34,coal-new,none,77.0
2016,p34,gas-CT,none,37.0
2016,p35,gas-CT,none,18.2
2016,p37,gas-CT,none,6.0
2016,p4,hydro,none,122.0
2016,p45,gas-CT,none,1.8
2016,p48,gas-CT,none,386.0
2016,p5,gas-CC,none,413.0
2016,p50,gas-CT,none,55.800000000000004
2016,p53,coal-new,none,251.0
2016,p53,gas-CC,none,117.0
2016,p53,gas-CT,none,32.5
2016,p56,coal-new,none,528.0
2016,p56,gas-CT,none,5.2
