RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2065,p87,nuclear,nuclear_r_ww,r,ww,1401.0
2065,p95,nuclear,nuclear_r_ww,r,ww,1160.1
2066,p122,nuclear,nuclear_r_ww,r,ww,1119.7
2066,p126,nuclear,nuclear_r_ww,r,ww,1172.0
2066,p132,nuclear,nuclear_r_ww,r,ww,1220.1
2066,p28,nuclear,nuclear_r_ww,r,ww,2625.0
2066,p58,nuclear,nuclear_r_ww,r,ww,967.5
2066,p95,nuclear,nuclear_r_ww,r,ww,1150.1
2067,p115,nuclear,nuclear_r_ww,r,ww,901.0
2067,p127,nuclear,nuclear_r_ww,r,ww,1291.7
2067,p83,nuclear,nuclear_r_ww,r,ww,1065.0
2067,p94,nuclear,nuclear_r_ww,r,ww,1150.0
2067,p98,nuclear,nuclear_r_ww,r,ww,968.0
2068,p103,nuclear,nuclear_r_ww,r,ww,1141.0
