Nuke60RetireYear,pca,tech,coolingwatertech,cap
2009,p129,hydro,none,9.6
2009,p28,CoalOldUns,none,271.0
2009,p31,o-g-s,none,44.0
2009,p33,hydro,none,15.0
2009,p34,gas-CT,none,1.0
2009,p39,gas-CT,none,1.0
2009,p40,gas-CT,none,4.3
2009,p43,CoalOldUns,none,364.0
2009,p45,CoalOldUns,none,704.0
2009,p45,gas-CT,none,1.0
2009,p46,o-g-s,none,23.0
2009,p50,gas-CT,none,1.2
2009,p50,o-g-s,none,44.0
2009,p53,CoalOldUns,none,715.0
2009,p54,CoalOldUns,none,700.0
2009,p54,gas-CT,none,2.5
2009,p55,gas-CT,none,1.0
2009,p68,gas-CT,none,2.1
2009,p70,gas-CT,none,1.0
2009,p75,hydro,none,1.9
2009,p81,CoalOldUns,none,740.0
2009,p81,gas-CT,none,3.4
2009,p85,gas-CT,none,1.3
2009,p87,o-g-s,none,7.5
2009,p89,CoalOldUns,none,678.0
2009,p91,CoalOldUns,none,924.0
2009,p94,CoalOldUns,none,1596.0
2009,p97,CoalOldUns,none,1098.0
2009,p98,CoalOldUns,none,728.0
2010,p101,CoalOldUns,none,944.0
2010,p103,gas-CT,none,7.0
2010,p106,gas-CC,none,87.0
2010,p109,CoalOldUns,none,681.0
2010,p112,CoalOldUns,none,2210.0
2010,p115,CoalOldUns,none,565.0
2010,p117,CoalOldUns,none,800.0
2010,p122,gas-CT,none,4.0
2010,p122,hydro,none,10.0
2010,p123,CoalOldUns,none,638.0
2010,p127,gas-CT,none,0.6
2010,p127,hydro,none,0.4
2010,p127,o-g-s,none,75.0
2010,p129,hydro,none,7.2
2010,p131,gas-CT,none,1.1
2010,p131,hydro,none,2.7
2010,p134,hydro,none,9.0
2010,p17,hydro,none,0.8
2010,p24,CoalOldUns,none,220.0
2010,p25,hydro,none,8.6
2010,p26,hydro,none,1.0
2010,p3,hydro,none,37.3
2010,p31,o-g-s,none,44.0
2010,p34,gas-CT,none,0.8
2010,p39,gas-CT,none,1.0
2010,p40,gas-CT,none,7.9
2010,p41,gas-CT,none,3.6
2010,p45,gas-CT,none,5.4
2010,p45,o-g-s,none,38.0
2010,p46,gas-CT,none,2.0
2010,p46,hydro,none,5.1
2010,p51,gas-CT,none,2.0
2010,p53,gas-CT,none,2.2
2010,p68,gas-CT,none,3.5
2010,p70,CoalOldUns,none,2.0
2010,p71,gas-CT,none,1.1
2010,p72,CoalOldUns,none,972.0
2010,p75,hydro,none,1.5
2010,p75,o-g-s,none,80.0
2010,p77,CoalOldUns,none,290.0
2010,p8,hydro,none,1.1
2010,p81,CoalOldUns,none,1186.0
2010,p89,CoalOldUns,none,2195.0
2010,p9,hydro,none,22.0
2010,p90,CoalOldUns,none,726.0
2010,p92,CoalOldUns,none,1398.0
2010,p94,CoalOldUns,none,724.0
2010,p95,hydro,none,9.6
2010,p96,CoalOldUns,none,1289.0
2010,p97,CoalOldUns,none,544.0
2011,p10,hydro,none,3.8
2011,p103,gas-CT,none,0.9
2011,p103,hydro,none,7.0
2011,p104,hydro,none,0.8
2011,p105,o-g-s,none,3.5
2011,p106,o-g-s,none,99.0
2011,p111,gas-CT,none,2.7
2011,p112,CoalOldUns,none,576.0
2011,p117,CoalOldUns,none,800.0
2011,p12,hydro,none,3.9
2011,p122,hydro,none,60.199999999999996
2011,p123,gas-CT,none,3.6
2011,p126,lfill-gas,none,10.6
2011,p127,hydro,none,3.6999999999999997
2011,p129,gas-CT,none,9.0
2011,p130,CoalOldUns,none,438.0
2011,p131,gas-CT,none,1.3
2011,p134,hydro,none,0.7
2011,p18,hydro,none,13.5
2011,p21,CoalOldUns,none,201.0
2011,p25,hydro,none,2.0
2011,p3,hydro,none,9.5
2011,p36,CoalOldUns,none,237.0
2011,p38,gas-CT,none,11.0
2011,p40,gas-CT,none,3.4
2011,p46,hydro,none,1.1
2011,p5,hydro,none,8.6
2011,p53,gas-CT,none,10.7
2011,p53,o-g-s,none,5.0
