Commercial.Online.Year,pca,tech,coolingwatertech,cap
2012,p7,geothermal,dum,17.700000000000003
2012,p70,gas-CT,dum,6.3
2012,p75,other,dum,1.4
2012,p78,lfill-gas,dum,0.8
2012,p78,o-g-s,dum,1.4
2012,p80,lfill-gas,dum,10.0
2012,p81,coal-new,dum,1628.0
2012,p81,gas-CT,dum,6.6
2012,p83,gas-CT,dum,10.899999999999999
2012,p85,coal-new,dum,609.0
2012,p87,gas-CC,dum,150.0
2012,p88,lfill-gas,dum,1.6
2012,p9,biopower,dum,17.8
2012,p9,gas-CC,dum,425.7
2012,p9,gas-CT,dum,349.6
2012,p9,hydro,dum,6.8
2012,p9,lfill-gas,dum,2.4000000000000004
2012,p9,o-g-s,dum,4.4
2012,p92,gas-CC,dum,878.0
2012,p92,lfill-gas,dum,4.800000000000001
2012,p94,gas-CC,dum,1649.0
2012,p94,lfill-gas,dum,6.6000000000000005
2012,p96,biopower,dum,16.0
2012,p97,coal-new,dum,844.0
2012,p97,gas-CC,dum,662.0
2012,p97,gas-CT,dum,741.8
2012,p97,hydro,dum,84.0
2012,p97,lfill-gas,dum,12.6
2012,p98,gas-CT,dum,9.4
2012,p98,hydro,dum,4.4
2012,p98,lfill-gas,dum,1.0
2012,p99,lfill-gas,dum,6.4
2012,p99,other,dum,1.4
2013,p1,hydro,dum,46.0
2013,p1,lfill-gas,dum,4.5
2013,p10,gas-CC,dum,555.9
2013,p10,gas-CT,dum,1902.2
2013,p10,o-g-s,dum,7.599999999999999
2013,p10,other,dum,1.8
2013,p101,biopower,dum,102.0
2013,p101,lfill-gas,dum,1.6
2013,p101,other,dum,3.2
2013,p102,gas-CC,dum,1211.0
2013,p102,gas-CT,dum,0.1
2013,p103,gas-CC,dum,74.9
2013,p103,gas-CT,dum,3.4
2013,p104,lfill-gas,dum,3.2
2013,p105,other,dum,0.7
2013,p107,coal-IGCC,dum,595.0
2013,p107,other,dum,12.0
2013,p109,lfill-gas,dum,1.2
2013,p11,lfill-gas,dum,4.4
2013,p111,lfill-gas,dum,7.999999999999999
2013,p112,other,dum,3.4
2013,p115,hydro,dum,6.7
2013,p118,lfill-gas,dum,5.399999999999999
2013,p12,geothermal,dum,30.0
2013,p120,lfill-gas,dum,6.4
2013,p122,biopower,dum,2.5
2013,p122,gas-CT,dum,67.8
2013,p122,hydro,dum,129.2
2013,p122,lfill-gas,dum,6.4
2013,p122,other,dum,5.6
2013,p125,lfill-gas,dum,2.2
2013,p125,o-g-s,dum,21.2
2013,p126,lfill-gas,dum,2.1
2013,p127,biopower,dum,54.900000000000006
2013,p127,gas-CT,dum,4.0
2013,p127,hydro,dum,3.3
2013,p127,lfill-gas,dum,6.4
2013,p130,biopower,dum,68.0
2013,p131,gas-CT,dum,0.4
2013,p131,o-g-s,dum,0.3
2013,p132,biopower,dum,38.0
2013,p132,o-g-s,dum,14.1
2013,p133,lfill-gas,dum,30.9
2013,p134,hydro,dum,6.3
2013,p15,hydro,dum,1.1
2013,p15,other,dum,3.3000000000000003
2013,p17,biopower,dum,3.0
2013,p17,hydro,dum,2.0
2013,p18,hydro,dum,60.5
2013,p2,biopower,dum,20.0
2013,p2,hydro,dum,3.6
2013,p25,geothermal,dum,39.0
2013,p25,o-g-s,dum,6.0
2013,p31,gas-CT,dum,88.2
2013,p31,geothermal,dum,7.600000000000001
2013,p33,biopower,dum,12.6
2013,p33,hydro,dum,5.0
2013,p34,hydro,dum,7.1
2013,p36,gas-CT,dum,80.0
2013,p38,gas-CT,dum,52.0
2013,p4,hydro,dum,122.0
2013,p43,gas-CT,dum,9.3
2013,p43,other,dum,7.6
2013,p44,hydro,dum,0.5
2013,p45,gas-CT,dum,11.6
2013,p46,other,dum,3.2
2013,p47,gas-CT,dum,19.0
2013,p48,gas-CT,dum,330.0
2013,p5,other,dum,1.0
2013,p51,lfill-gas,dum,2.8
2013,p52,o-g-s,dum,6.0
2013,p53,lfill-gas,dum,1.9
2013,p56,gas-CT,dum,20.0
2013,p63,coal-new,dum,940.0
2013,p67,gas-CT,dum,74.0
2013,p69,gas-CT,dum,1.8
2013,p70,other,dum,1.0
2013,p71,gas-CT,dum,3.4
2013,p72,lfill-gas,dum,1.0
2013,p75,biopower,dum,50.0
2013,p77,other,dum,1.6
2013,p78,o-g-s,dum,4.199999999999999
2013,p78,other,dum,2.0
2013,p79,other,dum,2.0
2013,p81,gas-CT,dum,1.1
2013,p89,lfill-gas,dum,4.800000000000001
2013,p9,gas-CC,dum,741.1
2013,p9,gas-CT,dum,765.7
2013,p9,lfill-gas,dum,7.9
2013,p9,o-g-s,dum,2.0
2013,p92,lfill-gas,dum,1.9
2013,p94,biopower,dum,94.0
2013,p94,gas-CT,dum,4.0
2013,p94,lfill-gas,dum,4.800000000000001
2013,p95,gas-CT,dum,1.0
2013,p95,hydro,dum,1.1
2013,p96,biopower,dum,39.8
2013,p97,gas-CT,dum,5.3
2013,p97,hydro,dum,28.0
2013,p97,lfill-gas,dum,6.7
2013,p98,gas-CC,dum,1495.0
2013,p98,gas-CT,dum,65.69999999999999
2013,p98,lfill-gas,dum,8.299999999999997
2013,p99,biopower,dum,133.0
2013,p99,lfill-gas,dum,4.800000000000001
2014,p10,gas-CT,dum,7.1
2014,p10,lfill-gas,dum,20.0
2014,p10,o-g-s,dum,2.0
2014,p10,other,dum,1.0
2014,p100,gas-CC,dum,1472.2
2014,p101,other,dum,24.0
2014,p102,gas-CC,dum,1212.0
2014,p103,lfill-gas,dum,3.0
2014,p105,lfill-gas,dum,5.699999999999999
2014,p105,other,dum,3.0
2014,p11,gas-CT,dum,45.0
2014,p111,lfill-gas,dum,0.8
2014,p111,other,dum,1.7999999999999998
2014,p12,geothermal,dum,11.5
2014,p123,gas-CC,dum,20.0
2014,p123,gas-CT,dum,9.1
2014,p125,lfill-gas,dum,2.0
2014,p126,gas-CC,dum,711.0
2014,p127,biopower,dum,41.0
2014,p127,gas-CT,dum,1.6
2014,p132,gas-CT,dum,10.0
2014,p132,o-g-s,dum,2.4
2014,p133,gas-CT,dum,12.5
2014,p16,hydro,dum,3.5999999999999996
2014,p16,lfill-gas,dum,1.4
2014,p24,gas-CC,dum,94.0
2014,p24,gas-CT,dum,37.0
2014,p25,gas-CC,dum,629.0
2014,p34,hydro,dum,8.0
2014,p36,gas-CT,dum,168.0
2014,p37,coal-new,dum,90.0
2014,p4,hydro,dum,122.0
2014,p41,lfill-gas,dum,4.800000000000001
2014,p43,gas-CT,dum,1.0
2014,p5,gas-CT,dum,205.69999999999996
2014,p5,hydro,dum,7.5
2014,p5,lfill-gas,dum,6.4
2014,p52,gas-CT,dum,135.0
2014,p53,gas-CT,dum,1.8
2014,p54,lfill-gas,dum,2.4
2014,p58,gas-CC,dum,560.0
2014,p58,gas-CT,dum,1.8
2014,p63,gas-CC,dum,1451.0
2014,p64,gas-CC,dum,516.0
2014,p65,lfill-gas,dum,4.4
2014,p66,biopower,dum,46.0
2014,p67,gas-CC,dum,337.8
2014,p67,gas-CT,dum,75.0
2014,p68,gas-CT,dum,26.0
2014,p69,gas-CT,dum,1.0
2014,p70,gas-CT,dum,8.0
2014,p70,lfill-gas,dum,4.800000000000001
2014,p76,hydro,dum,8.0
2014,p76,other,dum,1.4
2014,p80,gas-CT,dum,5.4
2014,p81,gas-CT,dum,2.5
2014,p84,lfill-gas,dum,3.8
2014,p88,gas-CC,dum,555.2
2014,p9,biopower,dum,45.0
2014,p9,gas-CT,dum,18.400000000000002
2014,p9,hydro,dum,1.5
2014,p9,lfill-gas,dum,12.6
2014,p9,o-g-s,dum,3.0
2014,p9,other,dum,2.6
2014,p94,biopower,dum,5.9
2014,p94,lfill-gas,dum,1.6
2014,p96,gas-CT,dum,2.0
2014,p97,lfill-gas,dum,1.9
2014,p98,gas-CT,dum,1.2
2014,p98,lfill-gas,dum,12.7
2015,p10,gas-CT,dum,8.4
2015,p10,o-g-s,dum,1.4
2015,p100,gas-CT,dum,15.0
2015,p101,lfill-gas,dum,4.800000000000001
2015,p102,lfill-gas,dum,84.0
2015,p103,gas-CT,dum,12.899999999999999
2015,p105,other,dum,3.0
2015,p109,gas-CC,dum,663.3
2015,p109,lfill-gas,dum,1.0
2015,p118,lfill-gas,dum,1.8
2015,p12,geothermal,dum,46.2
2015,p122,gas-CT,dum,21.0
2015,p123,gas-CT,dum,109.8
2015,p123,other,dum,24.0
2015,p125,gas-CC,dum,316.0
2015,p126,gas-CC,dum,1404.6
2015,p126,gas-CT,dum,64.0
2015,p127,gas-CT,dum,10.0
2015,p127,o-g-s,dum,2.2
2015,p131,gas-CT,dum,9.6
2015,p132,o-g-s,dum,5.3
2015,p133,gas-CT,dum,2.0
2015,p15,hydro,dum,1.2
2015,p16,gas-CT,dum,4.6
2015,p21,gas-CT,dum,7.0
2015,p25,o-g-s,dum,3.8
2015,p26,gas-CT,dum,4.199999999999999
2015,p31,gas-CT,dum,41.0
2015,p33,gas-CC,dum,576.0
2015,p34,hydro,dum,7.3
2015,p36,gas-CT,dum,80.0
2015,p4,hydro,dum,122.0
2015,p48,gas-CT,dum,195.0
2015,p5,gas-CT,dum,18.7
2015,p5,hydro,dum,4.0
2015,p5,other,dum,1.5
2015,p50,gas-CT,dum,122.0
2015,p53,gas-CT,dum,2.5
2015,p59,gas-CT,dum,190.0
2015,p62,gas-CT,dum,326.6
